108941985,Barrel Full of Monkey,5.11a
105918082,Armadillo,5.10d
105865736,Duke's Day,5.6
108168983,Oberon,5.10b
106577327,Attack of the Sand Shark,5.9-
105854080,Minas Tirith,5.9-
106973470,Jack the Ripper,5.11c
105867989,There and Back Again,5.6
107845041,Wide Pride,5.10c
108544814,Stonehinge,5.10-
108544808,Kaiju,5.11-
106585375,40 OZ of Justice,5.13a
106641238,All Things Considered,5.11d
105891694,Thirsting Skull (closed),5.12c
105870144,Things That Go Bump In the Night,5.9+
106593331,Super Slab,5.12c
108544822,Full Service,5.10
106702538,Tire Swing,5.10a
107059269,Teeter Totter,5.11c
107059244,Steal the Bacon,5.11a
106702543,Slide,5.9
105917901,Are the Pies Fresh?,5.12a
106980972,Gold Rush,5.11d
106702950,Different Strokes,5.11c
106937642,DaVinci's Left Ear,5.10b/c
108732455,Unknown Flake / Dihedral ,5.6
106973595,Thru Space and Time,5.10a
106849627,Lowered Expectations,5.5
105870261,Tissue Tiger,5.12b
107289422,Jet Lag,5.9
108078319,Jack Move,5.11b
108705380,Come To Me Marie,5.8
107289404,Autograph,5.11a
107289398,Apoplectic Chick from Missouri,5.10b
105891673,Sunshine,5.9
108466010,Zen and the Art of Masturbation,5.12d
106577204,Random Precision,5.11b
107879859,The Preacher's Daughter,5.11-
106895798,Mosaic,5.12c
106125118,Happy Trails,5.10d
108485824,Guernica (To first anchor),5.11a
106782101,Samurai,5.12b
106125110,The King Lives On,5.10b
106154626,Johnny B. Good,5.11a
108469779,Guernica,5.12b
107791113,Darkside of the Flume,5.9
106924124,Break the Scene,5.12a
106782135,Barbed Wire,5.12b
109612969,All That Glitters,5.12
106286394,Amarillo Sunset,5.11b
107059233,Red Rover,5.11b
106125082, Murano,5.10c
106658553,Octopus Tag,5.7
106604790,Monkey Bars,5.10a
106604805,Jungle Gym,5.10b
106604822,Crack the Whip,5.12a
106604816,Capture the Flag,5.11b
107059260,Balance Beam,5.11a
106584667,Special Boy,5.11c
106575827,Paradise Lost,5.13b
107903509,Jumbo Shrimp,5.10a
106575837,Hellraiser,5.12
106575842,Gluttony,5.12a
106125070,A Brief History of Climb,5.10c
106125099,27 Years of Climbing,5.8
107903491,The Gimp,5.10a
106584658,Dracula '04,5.13b
106575856,Believer,5.11
108544831,Buffin'  the Taint,5.9+
105883470,The Weasel,
109077624,The Spider Squat,5.7
105883480,Seven-Ten Split,
105882861,Love Hurts,
105882833,Lost Dart,5.2
105882857,Hierarchy,
106730200,Good Tang,5.7
107792664,Der Kommissar,5.9
107775577,Dicey at Best,5.8+
105882839,DAB Chimney,5.6
107574176,Caterpillar Crack,5.6
106730189,Blue Biner,5.9
108938341,Reach for the Beach,5.9
107847977,Laceration,5.4
105883461,Aptly Named,
105891504,The Quest,5.10+
105974573,Marmalde,5.9+
105974580,Layback Crack,5.8
106176822,Lactic Acid,5.9
107585050,Investigator,5.7
105891669,Handjob,5.9+
107584999,Devine Climb,5.8+
105868048,Yuk,5.9
107195752,Whip It Out,5.11d
105865685,Vector Trouble,5.10a
105868036,Two Step,5.7+
107195762,Trinket Man,5.11d
107195735,Stand and Deliver,5.11c
106937634,Souders Crack,5.11
107195807,The Snatch,5.11d
107667738,Sacred Geometry,5.13
107195821,Rock Caddie,5.10a
105868029,Now I'm Nothing,5.11c
105919218,Ralph & Bob's,5.7
105868700,Perforator,5.10a
107667730,Next Day Air,5.11-
107195728,NEPA This,5.8-
105868688,Mailbox,5.8
105919225,Long Wall Chimney,5.7
105868175,Steal Your Thunder,5.9+
105868180,Razor Burn,5.7
107195787,Kazi and Mito,5.11a
106417287,Hot September,5.9
107195829,Gladuator,5.12b
105917897,The Gift,5.12a
105854086,Major's Pinnacle,5.8
106730251,Little Boy Bleu,
105868000,Rock Wars,5.10a
106309183,Game Boy,5.11c
108037538,Fear and Loathing in Nada,5.10b
106417326,Cruise Control,5.9+
105885186,Boom Boom Out Go The Lights,5.10b
107667764,Bloodline,5.12-
105865495,Big Country,5.5
105891912,Back Door to Paris,5.10c
105868693,B3,5.11b
105885169,Subatomic Fingerlock (closed),5.10a
106045291,The Reliquary,5.12b
105870266,Stay Left,5.10a
105891704,Pink Feat Boulder Problem,
106123184,Parting Gift,5.11b
107195890,Nothing for Now,5.12a
106594004,Nicorette,5.12a
105868022,Autumn,5.9-
105870248,Possum Lips,5.10+
106053937,Nagypapa,5.13d
106594009,Mule,5.12c
106574382,Minimum Creep,5.11c
106053943,The Legend,5.13b
105939731,Left Turret,5.11b
105870026,Jungle Beat,5.10
105870271,Mercy Miss Percy,5.9
105870220,Jac Mac (closed),5.11d
105891685,Gung Ho,5.12a
107195878,Government Cheese,5.11d
105891677,Moonbeam,5.9
105891681,In the Light,5.10
105885179,G.I.,5.7
106061926,Forearm Follies,5.11d
105870193,Decay's Way,5.7+
105870198,Danita Dolores,5.10
106731301,Bozo's Bogus Booty Biner (BBBB),5.11c
105870212,Blade Runner (closed),5.7
105885175,Beene Material,5.10c
105870205,BeeneStalker (closed),5.10d
105870243,Another Doug Reed Route,5.11-
106932351,The Verdict,5.12b
106969274,Twisted,5.11b
107392101,Transworld Depravity,5.14a
105870256,Fuzzy Undercling,5.11-
106393414,Tuna Town,5.12d
106577231,Trust in Jesus,5.11a
106164148,Trad Sucker,5.11b
106916504,Team Wilson,5.12d
106598941,Swahili Slang,5.12c
106895836,Stella,5.11d
107359867,Stabbed in the Back,5.10a
107055936,Snooker,5.13a
106575787,Snapper,5.11a
106286382,Stain,5.12c
106928753,SKWBA,5.11d
106579687,Skin Boat,5.13a
106925412,The Sauce,5.12b
106305165,Rocket Dog,5.12b
106727829,Resurrection,5.12c
107055948,The Reacharound,5.12c
106969249,Pushing Up Daisies,5.13c
109089998,Purdy Mouth,5.12b
107195921,One-Eyed Willy Up the Back,5.11c
106895870,The Low Easy One,5.12b
106575777,The Madness,5.13c
106585384,Leave it to Beavis,5.12d
107899800,Laura,5.11-
106969294,Hot For Teacher,5.12c
106484047,Kick Me In The Jimmie,5.12a
106484453,Injured Reserve,5.11a
106417447,Hoofmaker,5.13a
106736608,The High Hard One (aka Subman),5.12d
106286388,Heart Shape Box,5.12c/d
106417458,Harvest,5.12d
106543000,Golden Touch,5.13b
106417464,Flux Capacitor,5.12d
106969206,Flour Power,5.13b
108646527,False Positive,5.12c
107055941,Cutthroat,5.13b
106756611,Crime Time,5.12d
106598931,Convicted,5.13a
108371294,The Chronic,5.12b
106261131,Buff the Wood,5.12b
106975155,Breathe Right,5.11c
106153682,Chainsaw,5.12a
106538496,Burlier's Bane,5.12a
106575765,8 Ball,5.12d
106598936,Ball Scratcher,5.12a
108087253,Continental Drift,5.8-
106575756,BOHICA,5.13b
107934642,Ben,5.11a
106445478,Ale-8-One,5.12b
106189887,Tall Cool One,5.9
106170048,Fifth Bolt Faith,5.10b/c
106065471,Plate Tectonics,5.9+
106065461,Gettin' Lucky in Kentucky,5.10b
106599140,Virgin Bolter Tag Team,5.10b
106937596,Weed Eater,5.11b
108175651,Velveteen,5.4
