climbName,climbID,userID1,userID2,userStars2,climbGrade,userStars1
Strip Tease,108359076,106892045,,,5.12a,4
Unknown,106562043,106031999,,,5.12b,4
5.5 My Ass,105856063,105820203,107622834,3,5.6,3
5.5 My Ass,105856063,106516756,107772111,3,5.6,3
5.5 My Ass,105856063,108416778,109626730,2,5.6,3
5.5 My Ass,105856063,108254938,107622055,2,5.6,2
5.5 My Ass,105856063,108402751,106562865,2,5.6,2
5.5 My Ass,105856063,109023655,108735174,2,5.6,2
Supermoon,108768800,106883001,107428130,4,5.11a,5
Supermoon,108768800,107561663,106919775,4,5.11a,4
Supermoon,108768800,106568500,107661533,4,5.11a,4
Supermoon,108768800,106955014,107917066,3,5.11a,4
Supermoon,108768800,106736847,106089213,3,5.11a,3
Supermoon,108768800,106418097,106792700,3,5.11a,3
Strip Tease,108359076,105836955,,,5.12a,4
Schneezal,106561976,106031999,,,5.12a,5
Schneezal,106561976,105836955,,,5.12a,5
Schneezal,106561976,106403737,,,5.12a,5
Schneezal,106561976,106766740,,,5.12a,5
Schneezal,106561976,106510314,,,5.12a,5
Schneezal,106561976,106655109,,,5.12a,5
Pistol Whip,109050963,106740823,,,5.11c,4
Pistol Whip,109050963,108277529,,,5.11c,4
One Banana,108938386,106736847,,,5.11a,4
One Banana,108938386,107561663,,,5.11a,4
One Banana,108938386,107428130,,,5.11a,4
One Banana,108938386,108416778,,,5.11a,3
5.5 My Ass,105856063,108099571,106478239,2,5.6,2
5.5 My Ass,105856063,106631301,106719962,2,5.6,2
5.5 My Ass,105856063,106819472,105952525,2,5.6,2
5.5 My Ass,105856063,106803582,107250871,2,5.6,2
5.5 My Ass,105856063,106698074,106687287,2,5.6,2
5.5 My Ass,105856063,106945745,106653468,2,5.6,2
Schneezal,106561976,106740823,,,5.12a,5
Schneezal,106561976,106655227,,,5.12a,4
Schneezal,106561976,106736847,,,5.12a,4
Madmen Rule the World,108938328,106736847,,,5.10d,3
Load,106608613,106031999,,,5.10d,5
Load,106608613,106403737,,,5.10d,4
Load,106608613,12084,,,5.10d,3
Mines of Moria,108589301,108343303,,,,4
Slopers Malone,108578879,105836955,,,,5
5.5 My Ass,105856063,107807423,107653756,2,5.6,2
5.5 My Ass,105856063,107751353,107776838,2,5.6,2
5.5 My Ass,105856063,106876126,106655109,1,5.6,2
5.5 My Ass,105856063,108096611,,,5.6,1
Bullocks,107159897,106403737,,,5.9,4
Bullocks,107159897,107657769,,,5.9,4
Bullocks,107159897,106655109,,,5.9,4
Bullocks,107159897,107051650,,,5.9,4
Bullocks,107159897,107287218,,,5.9,4
Bullocks,107159897,106766740,,,5.9,3
Bullocks,107159897,108277529,,,5.9,3
Bullocks,107159897,108416778,,,5.9,3
Bullocks,107159897,106736847,,,5.9,3
Bullocks,107159897,106510314,,,5.9,3
Bullocks,107159897,107561663,,,5.9,3
Starry,107583304,106655109,106919775,5,5.12a,5
Starry,107583304,106955014,106740823,5,5.12a,5
Starry,107583304,106389733,107026497,5,5.12a,5
Starry,107583304,106792700,107224041,5,5.12a,5
Starry,107583304,107561663,107089682,5,5.12a,5
Starry,107583304,106030548,106344939,5,5.12a,5
Skull In Hole,106608544,106655109,105952525,5,5.12a,5
Skull In Hole,106608544,106592422,106371342,5,5.12a,5
Skull In Hole,106608544,107757511,106403737,5,5.12a,5
Skull In Hole,106608544,108473510,106736847,4,5.12a,5
Skull In Hole,106608544,106389733,106568500,4,5.12a,4
Skull In Hole,106608544,106031999,106740823,4,5.12a,4
Shake And Not Stir,107539064,106285308,,,5.12d,4
Shake And Not Stir,107539064,106736847,,,5.12d,4
The Prow,106608581,105952525,,,5.12b,5
Starry,107583304,107564433,105897447,4,5.12a,5
Starry,107583304,106568500,107757511,4,5.12a,4
Starry,107583304,108473510,106736847,4,5.12a,4
Starry,107583304,106285308,106517269,4,5.12a,4
Starry,107583304,106819674,105855362,3,5.12a,3
Skull In Hole,106608544,106748471,105897447,4,5.12a,4
Skull In Hole,106608544,106892045,106819674,4,5.12a,4
Skull In Hole,106608544,106344939,107089682,4,5.12a,4
Skull In Hole,106608544,106285308,107540372,4,5.12a,4
Skull In Hole,106608544,107564433,,,5.12a,3
The Prow,106608581,107026497,,,5.12b,5
The Prow,106608581,106031999,,,5.12b,4
The Prow,106608581,106655109,,,5.12b,4
The Prow,106608581,106736847,,,5.12b,4
The Prow,106608581,106740823,,,5.12b,4
The Prow,106608581,106792700,,,5.12b,4
The Prow,106608581,106285308,,,5.12b,3
The Prow,106608581,107564433,,,5.12b,3
Mr. Cute,107159878,106766740,107564433,5,5.11a,5
Mr. Cute,107159878,107034760,107224041,4,5.11a,5
Mr. Cute,107159878,108689132,106792700,4,5.11a,4
Mr. Cute,107159878,106736847,105897447,4,5.11a,4
Mr. Cute,107159878,107858105,107475857,4,5.11a,4
Mr. Cute,107159878,107757511,106819674,4,5.11a,4
Mr. Cute,107159878,106655109,12084,4,5.11a,4
Mr. Cute,107159878,106403737,106900293,4,5.11a,4
Mr. Cute,107159878,106517269,106568500,3,5.11a,3
Moselstra\xdfe,109427654,106736847,,,5.10d,3
Meathead,106493826,106031999,105897447,5,5.11c,5
Meathead,106493826,106389733,106344939,5,5.11c,5
Meathead,106493826,106371342,105952525,5,5.11c,5
Meathead,106493826,106403737,106792700,4,5.11c,4
Meathead,106493826,106748471,12084,4,5.11c,4
Meathead,106493826,106736847,107481450,4,5.11c,4
Meathead,106493826,107475857,106655109,4,5.11c,4
Meathead,106493826,107757511,107564433,3,5.11c,4
Lieutenant Tomek  ,109033631,107287218,,,5.9,4
Lieutenant Tomek  ,109033631,107561663,,,5.9,4
Lieutenant Tomek  ,109033631,106107825,,,5.9,3
Lieutenant Tomek  ,109033631,106389733,,,5.9,3
Lieutenant Tomek  ,109033631,107917066,,,5.9,3
Lieutenant Tomek  ,109033631,107417220,,,5.9,3
Lieutenant Tomek  ,109033631,106568500,,,5.9,2
La Senora No Contenta,109427635,106736847,,,5.11c,4
Kurt Albert Gedachtnisweg,108915363,107417220,,,5.11b,4
Kurt Albert Gedachtnisweg,108915363,106736847,,,5.11b,3
Happy Sexgiving,109043168,107917066,,,5.10b,4
Happy Sexgiving,109043168,106107825,,,5.10b,3
Happy Sexgiving,109043168,107287218,,,5.10b,3
King Lichen Me,109023567,107287218,,,5.10a,4
King Lichen Me,109023567,106389733,,,5.10a,4
King Lichen Me,109023567,107917066,,,5.10a,4
King Lichen Me,109023567,106955014,,,5.10a,4
King Lichen Me,109023567,107561663,,,5.10a,4
King Lichen Me,109023567,106107825,,,5.10a,3
King Lichen Me,109023567,107034760,,,5.10a,3
King Lichen Me,109023567,106919775,,,5.10a,3
Half Mast,107929471,106517269,,,5.12b,4
Half Mast,107929471,106736847,,,5.12b,4
Half Mast,107929471,106655109,,,5.12b,4
Half Mast,107929471,106740823,,,5.12b,3
First Last and Always,108915349,106736847,,,5.12a,4
Beer Pressure,109422840,106736847,,,5.11d,4
Alleluja,109532099,106568500,,,5.10c,3
Bittersweet,107539049,106285308,,,5.13a,4
Bittersweet,107539049,106762537,,,5.13a,4
Nasty Wieners,109308672,108005030,,,5.9,3
Nasty Wieners,109308672,107835199,,,5.9,3
Mighty Hermaphrodite,108903782,107286381,,,5.10b,3
Imagination Dehydrated,108903953,107286381,,,5.11b,3
King Lichen Me,109023567,107913373,,,5.10a,3
Coffindaffer's Dream,108768795,106792700,107561663,5,5.11b,5
Coffindaffer's Dream,108768795,106919775,107224041,5,5.11b,5
Coffindaffer's Dream,108768795,107034760,106740823,5,5.11b,5
Coffindaffer's Dream,108768795,106389733,106736847,5,5.11b,5
Coffindaffer's Dream,108768795,12084,107540372,5,5.11b,5
Coffindaffer's Dream,108768795,106955014,107417220,4,5.11b,4
Berecik,109419449,106911109,,,5.8,3
Last Tango ,106784253,106619581,,,5.11b,3
Happy Head,106784199,107789096,,,5.8,5
Happy Head,106784199,106619581,,,5.8,4
Happy Head,106784199,107671020,,,5.8,4
Happy Head,106784199,106655109,,,5.8,4
Happy Head,106784199,106022427,,,5.8,4
Happy Head,106784199,107267683,,,5.8,4
Happy Head,106784199,106488744,,,5.8,4
Happy Head,106784199,105994000,,,5.8,3
Happy Head,106784199,12084,,,5.8,3
Gemini Crack - Rt.,105964405,105915753,105871367,5,5.10a,5
Gemini Crack - Rt.,105964405,106389733,106486112,4,5.10a,4
Gemini Crack - Rt.,105964405,106055734,107560830,4,5.10a,4
Gemini Crack - Rt.,105964405,105994000,106022427,4,5.10a,4
Gemini Crack - Rt.,105964405,12084,107824807,4,5.10a,4
Gemini Crack - Rt.,105964405,105837907,106031999,4,5.10a,4
Gemini Crack - Rt.,105964405,106056907,105979386,4,5.10a,4
Gemini Crack - Left,106175519,106389733,105871367,5,5.10c,5
Gemini Crack - Left,106175519,105831906,107671020,4,5.10c,4
Gemini Crack - Left,106175519,105994000,107267683,4,5.10c,4
Gemini Crack - Left,106175519,12084,106031999,4,5.10c,4
Gemini Crack - Left,106175519,105837907,107824807,4,5.10c,4
Gemini Crack - Left,106175519,107560830,106405973,3,5.10c,3
Happy Head,106784199,106689803,,,5.8,3
Gemini Crack - Rt.,105964405,105802830,10168,3,5.10a,4
Gemini Crack - Rt.,105964405,107671020,106405973,3,5.10a,3
Gemini Crack - Rt.,105964405,105831906,,,5.10a,3
Esse Crack,106175512,105831906,,,5.10c,4
Esse Crack,106175512,105871367,,,5.10c,4
Esse Crack,106175512,105837907,,,5.10c,4
Esse Crack,106175512,106655109,,,5.10c,4
Esse Crack,106175512,106389733,,,5.10c,4
Screamer Crack,105951037,106359490,106580951,5,5.8,5
Screamer Crack,105951037,105855362,106031999,4,5.8,4
Screamer Crack,105951037,106819472,108104464,4,5.8,4
Screamer Crack,105951037,107340553,106098789,4,5.8,4
Screamer Crack,105951037,105952525,107561580,3,5.8,3
Super Crack,105949134,107746328,106449553,5,5.9+,5
Super Crack,105949134,107730254,107561663,5,5.9+,5
Super Crack,105949134,107267683,107671020,5,5.9+,5
Super Crack,105949134,107473231,107858105,5,5.9+,5
Super Crack,105949134,105952525,107561580,5,5.9+,5
Super Crack,105949134,107646553,107340553,5,5.9+,5
Super Crack,105949134,105788014,108104464,5,5.9+,5
Screamer Crack,105951037,106427485,105837211,3,5.8,3
Screamer Crack,105951037,107646553,,,5.8,2
Right Son of Thunder,106032593,106031999,,,5.11c,5
Right Son of Thunder,106032593,106427485,,,5.11c,5
Right Son of Thunder,106032593,106285308,,,5.11c,5
Mushrooms,106064720,106031999,106919775,4,5.10a,5
Mushrooms,106064720,108104464,107550300,4,5.10a,4
Momma's Squeeze Box,106032608,106536997,,,5.8,5
Momma's Squeeze Box,106032608,106056907,,,5.8,4
Momma's Squeeze Box,106032608,107051650,,,5.8,4
Momma's Squeeze Box,106032608,107746328,,,5.8,4
Momma's Squeeze Box,106032608,106031999,,,5.8,3
Loud Noise,107551019,106285308,,,5.12b,4
Loud Noise,107551019,107251896,,,5.12b,3
Let's Make A Deal,106270966,106031999,,,5.11c,4
Let's Make A Deal,106270966,106298371,,,5.11c,4
Let's Make A Deal,106270966,107251896,,,5.11c,4
Let's Make A Deal,106270966,106418002,,,5.11c,3
Super Crack,105949134,106999733,106488744,5,5.9+,5
